article_violated,summary
Art. 11 GDPR,A company retained personal data even after the user requested anonymization.
Art. 11 GDPR,"An online service refused to delete data, citing inability to identify the user."
Art. 11 GDPR,A data controller failed to implement measures to ensure anonymous processing.
Art. 11 GDPR,A website linked user behavior to profiles despite an opt-out request.
Art. 11 GDPR,An organization processed data beyond necessity without means of identifying users.
Art. 19 GDPR,A company did not notify third parties of a user’s request to delete personal data.
Art. 19 GDPR,A bank failed to inform credit bureaus about a user’s corrected financial records.
Art. 19 GDPR,An online retailer ignored the obligation to update third parties about data changes.
Art. 19 GDPR,A healthcare provider did not inform insurance companies of updated patient data.
Art. 19 GDPR,A social media platform refused to notify advertisers about deleted user accounts.
Art. 20 GDPR,A music streaming service denied users the ability to export their playlists.
Art. 20 GDPR,A telecom provider refused to provide customer call records in a structured format.
Art. 20 GDPR,An insurance company failed to transfer policyholder data to a competitor.
Art. 20 GDPR,A cloud storage provider made data migration to another service impossible.
Art. 20 GDPR,A banking app did not allow customers to download their transaction history.
Art. 23 GDPR,A government agency imposed data access restrictions without clear legal justification.
Art. 23 GDPR,A telecom company limited user data deletion requests citing security concerns.
Art. 23 GDPR,A financial institution restricted account holders from exporting their own data.
Art. 23 GDPR,A medical research project refused data deletion requests without valid reasons.
Art. 23 GDPR,A national security law was used to block access to personal data without oversight.
Art. 43 GDPR,A certification body issued GDPR compliance certificates without proper audits.
Art. 43 GDPR,A company falsely claimed GDPR certification without independent verification.
Art. 43 GDPR,An organization failed to meet renewal requirements for GDPR certification.
Art. 43 GDPR,A GDPR compliance certification was revoked due to lack of oversight.
Art. 43 GDPR,A certification body had conflicts of interest when approving GDPR compliance.
Art. 44 GDPR,A social media company transferred EU user data to the US without safeguards.
Art. 44 GDPR,An e-commerce site stored customer data on foreign servers without legal grounds.
Art. 44 GDPR,A multinational firm processed EU customer data outside the EU without compliance.
Art. 44 GDPR,A cloud provider moved client data to non-EU jurisdictions without proper protections.
Art. 44 GDPR,A financial institution shared EU citizen data with a foreign partner unlawfully.
Art. 46 GDPR,A company transferred personal data abroad without using Standard Contractual Clauses.
Art. 46 GDPR,A healthcare provider shared patient data internationally without encryption.
Art. 46 GDPR,An online service failed to implement safeguards for cross-border data transfers.
Art. 46 GDPR,A retail company moved customer data to another country without binding agreements.
Art. 46 GDPR,A software company processed EU user data in non-compliant regions without safeguards.
Art. 8 GDPR,A website collected personal data from children under 13 without parental consent.
Art. 8 GDPR,An app failed to verify parental consent before processing data of minors.
Art. 8 GDPR,A social media platform allowed underage users to register without age verification.
Art. 8 GDPR,A gaming company processed data of minors without informing parents.
Art. 8 GDPR,A school platform shared students' personal data without proper consent.
Art. 10 GDPR,A company unlawfully processed criminal records of employees without justification.
Art. 10 GDPR,A background check service stored criminal data for longer than legally allowed.
Art. 10 GDPR,A financial institution used criminal data for profiling without consent.
Art. 10 GDPR,A law firm shared a client's criminal record with third parties without consent.
Art. 10 GDPR,A public database exposed individuals' past criminal convictions without legal basis.
Art. 16 GDPR,A bank refused to correct incorrect credit scores despite user requests.
Art. 16 GDPR,An e-commerce site failed to update incorrect customer addresses upon request.
Art. 16 GDPR,A health provider denied a patient’s request to fix incorrect medical records.
Art. 16 GDPR,A telecom company ignored requests to update incorrect billing details.
Art. 16 GDPR,A university kept outdated student records despite multiple requests for correction.
Art. 22 GDPR,A bank denied loans based solely on automated credit scoring without human review.
Art. 22 GDPR,An employer used an AI-based hiring system that rejected candidates unfairly.
Art. 22 GDPR,An insurance company increased premiums based on an opaque AI algorithm.
Art. 22 GDPR,A job-matching platform used AI decisions without transparency or user consent.
Art. 22 GDPR,A telecom provider blocked services using an automated risk assessment system.
Art. 45 GDPR,A company transferred customer data to a country without an adequacy decision.
Art. 45 GDPR,A tech firm processed EU citizens’ data in a country lacking data protection laws.
Art. 45 GDPR,An online retailer stored EU customer data in servers located in a non-compliant country.
Art. 45 GDPR,A healthcare provider shared patient data with a non-EU company without safeguards.
Art. 45 GDPR,A cloud service provider moved sensitive data to a jurisdiction without proper oversight.
